Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Account,Chrome 144.0.7559.60,,,22-01-2026 10:16:20,22-01-2026 10:17:15,55.542s,PASSED
,,,,,,,
Test Cases/TC_Salesforce New/MainTest/Account Mgmt_1,Chrome 144.0.7559.60,,,22-01-2026 10:16:20,22-01-2026 10:17:15,54.451s,PASSED
Start listener action : sampleBeforeTestCase3,Chrome 144.0.7559.60,,,22-01-2026 10:16:20,22-01-2026 10:16:21,0.202s,PASSED
"callTestCase(findTestCase(""TC_Salesforce New/RecallTest/SetupTeardown/Login into Salesforce_1""), [:], STOP_ON_FAILURE)",Chrome 144.0.7559.60,,,22-01-2026 10:16:21,22-01-2026 10:16:57,35.890s,PASSED
"callTestCase(findTestCase(""TC_Salesforce New/RecallTest/Account/Create an Account_1""), [:], STOP_ON_FAILURE)",Chrome 144.0.7559.60,,,22-01-2026 10:16:57,22-01-2026 10:17:13,16.202s,PASSED
"callTestCase(findTestCase(""TC_Salesforce New/RecallTest/SetupTeardown/Close application""), [:], STOP_ON_FAILURE)",Chrome 144.0.7559.60,,,22-01-2026 10:17:13,22-01-2026 10:17:15,1.941s,PASSED
Start listener action : sampleAfterTestCase2,Chrome 144.0.7559.60,,,22-01-2026 10:17:15,22-01-2026 10:17:15,0.012s,PASSED
