Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Contact,Chrome 144.0.7559.133,,,07-02-2026 10:04:58,07-02-2026 10:06:07,1m - 8.573s,PASSED
,,,,,,,
Test Cases/TC_Salesforce New/MainTest/New Folder/Create Contact_1,Chrome 144.0.7559.133,,,07-02-2026 10:04:59,07-02-2026 10:06:07,1m - 7.982s,PASSED
"DATA BINDING - {""mainACName"":""User_1770355022101""}",,,,,,,
Start listener action : sampleBeforeTestCase3,Chrome 144.0.7559.133,,,07-02-2026 10:04:59,07-02-2026 10:05:05,5.666s,PASSED
"callTestCase(findTestCase(""TC_Salesforce New/RecallTest/SetupTeardown/Login into Salesforce_1""), [:], STOP_ON_FAILURE)",Chrome 144.0.7559.133,,,07-02-2026 10:05:05,07-02-2026 10:05:39,34.607s,PASSED
"callTestCase(findTestCase(""TC_Salesforce New/RecallTest/Contact1/Create a Contact for existing AC_1""), [""accountName"":mainACName], STOP_ON_FAILURE)",Chrome 144.0.7559.133,,,07-02-2026 10:05:39,07-02-2026 10:06:07,27.510s,PASSED
"println(""DEBUG: Value from internal data  is -> "" + mainACName)",Chrome 144.0.7559.133,,,07-02-2026 10:06:07,07-02-2026 10:06:07,0.007s,PASSED
Start listener action : sampleAfterTestCase2,Chrome 144.0.7559.133,,,07-02-2026 10:06:07,07-02-2026 10:06:07,0.007s,PASSED
