Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Account,Chrome 144.0.7559.60,,,22-01-2026 10:20:35,22-01-2026 10:21:32,57.084s,PASSED
,,,,,,,
Test Cases/TC_Salesforce New/MainTest/Account Mgmt_1,Chrome 144.0.7559.60,,,22-01-2026 10:20:35,22-01-2026 10:21:31,55.923s,PASSED
Start listener action : sampleBeforeTestCase3,Chrome 144.0.7559.60,,,22-01-2026 10:20:35,22-01-2026 10:20:36,0.171s,PASSED
"callTestCase(findTestCase(""TC_Salesforce New/RecallTest/SetupTeardown/Login into Salesforce_1""), [:], STOP_ON_FAILURE)",Chrome 144.0.7559.60,,,22-01-2026 10:20:36,22-01-2026 10:21:13,37.726s,PASSED
"callTestCase(findTestCase(""TC_Salesforce New/RecallTest/Account/Create an Account_1""), [:], STOP_ON_FAILURE)",Chrome 144.0.7559.60,,,22-01-2026 10:21:13,22-01-2026 10:21:29,15.724s,PASSED
"callTestCase(findTestCase(""TC_Salesforce New/RecallTest/SetupTeardown/Close application""), [:], STOP_ON_FAILURE)",Chrome 144.0.7559.60,,,22-01-2026 10:21:29,22-01-2026 10:21:31,2.129s,PASSED
Start listener action : sampleAfterTestCase2,Chrome 144.0.7559.60,,,22-01-2026 10:21:31,22-01-2026 10:21:31,0.014s,PASSED
