Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Account,Chrome 144.0.7559.60,,,22-01-2026 10:26:02,22-01-2026 10:27:00,57.866s,PASSED
,,,,,,,
Test Cases/TC_Salesforce New/MainTest/Account Mgmt_1,Chrome 144.0.7559.60,,,22-01-2026 10:26:03,22-01-2026 10:27:00,57.207s,PASSED
Start listener action : sampleBeforeTestCase3,Chrome 144.0.7559.60,,,22-01-2026 10:26:03,22-01-2026 10:26:03,0.181s,PASSED
"callTestCase(findTestCase(""TC_Salesforce New/RecallTest/SetupTeardown/Login into Salesforce_1""), [:], STOP_ON_FAILURE)",Chrome 144.0.7559.60,,,22-01-2026 10:26:03,22-01-2026 10:26:43,40.003s,PASSED
"callTestCase(findTestCase(""TC_Salesforce New/RecallTest/Account/Create an Account_1""), [:], STOP_ON_FAILURE)",Chrome 144.0.7559.60,,,22-01-2026 10:26:43,22-01-2026 10:26:58,14.922s,PASSED
"callTestCase(findTestCase(""TC_Salesforce New/RecallTest/SetupTeardown/Close application""), [:], STOP_ON_FAILURE)",Chrome 144.0.7559.60,,,22-01-2026 10:26:58,22-01-2026 10:27:00,1.910s,PASSED
Start listener action : sampleAfterTestCase2,Chrome 144.0.7559.60,,,22-01-2026 10:27:00,22-01-2026 10:27:00,0.010s,PASSED
