Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Account,,,,22-01-2026 11:05:08,22-01-2026 11:05:22,14.053s,FAILED
,,,,,,,
Test Cases/TC_Salesforce New/MainTest/Account Mgmt_1,,,,22-01-2026 11:05:09,22-01-2026 11:05:22,13.020s,FAILED
Start listener action : sampleBeforeTestCase3,,,,22-01-2026 11:05:09,22-01-2026 11:05:17,8.477s,PASSED
"callTestCase(findTestCase(""TC_Salesforce New/RecallTest/SetupTeardown/Login into Salesforce_1""), [:], STOP_ON_FAILURE)",,,,22-01-2026 11:05:18,22-01-2026 11:05:22,4.309s,FAILED
Start listener action : sampleAfterTestCase2,,,,22-01-2026 11:05:22,22-01-2026 11:05:22,0.033s,PASSED
